Key,Host_Key,Distrito,Barrio,Tipo_Inmueble,Precio,Min_Nights,Anuncios_Totales_del_Host,Capacidad,Dormitorios,Camas,Baños,Precio/Capacidad
10205129,52428868,Triana,Triana Casco Antiguo,Inmueble_Completo,96,2,2,4.0,1.0,2.0,1.0,24.0
10249583,52683512,Macarena,Retiro Obrero,Inmueble_Completo,83,2,1,5.0,2.0,3.0,,16.6
10312902,53064292,Casco_Antiguo,Santa Catalina,Inmueble_Completo,155,1,2,3.0,1.0,1.0,1.0,51.666666666666664
6386402,17684865,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,74,2,2,3.0,1.0,3.0,1.0,24.666666666666668
8740226,15440678,Casco_Antiguo,Santa Cruz,Inmueble_Completo,99,2,30,4.0,1.0,2.0,1.0,24.75
8757913,21649403,Casco_Antiguo,San Gil,Inmueble_Completo,104,2,6,2.0,1.0,1.0,1.0,52.0
6441665,2540244,Triana,Triana Oeste,Habitacion_Privada,43,2,2,2.0,1.0,2.0,1.0,21.5
8819019,46198392,Casco_Antiguo,San Bartolomé,Inmueble_Completo,150,2,1,6.0,2.0,5.0,1.0,25.0
10481092,45612253,Casco_Antiguo,Museo,Inmueble_Completo,92,2,8,6.0,2.0,3.0,1.0,15.333333333333334
6447816,29022702,Los_Remedios,Los Remedios,Habitacion_Privada,106,1,2,3.0,2.0,6.0,,35.333333333333336
8844029,35892305,Casco_Antiguo,San Bartolomé,Inmueble_Completo,68,1,2,3.0,2.0,3.0,1.0,22.666666666666668
6583578,34435538,Casco_Antiguo,San Bartolomé,Habitacion_Privada,49,1,3,2.0,1.0,2.0,1.0,24.5
8860070,5817319,Casco_Antiguo,Alfalfa,Inmueble_Completo,90,6,2,4.0,1.0,3.0,1.0,22.5
10563471,37513140,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,150,4,1,2.0,1.0,2.0,1.0,75.0
6624963,4487745,Nervion,San Bernardo,Habitacion_Privada,95,2,3,2.0,1.0,1.0,1.0,47.5
8884241,40339562,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,139,2,1,6.0,2.0,4.0,1.0,23.166666666666668
6627258,30018845,Casco_Antiguo,San Vicente,Inmueble_Completo,78,1,1,4.0,1.0,2.0,1.0,19.5
8892905,46526393,Nervion,Nervión,Habitacion_Privada,50,1,2,2.0,1.0,1.0,1.0,25.0
10601066,13804600,Casco_Antiguo,San Gil,Inmueble_Completo,119,2,1,5.0,2.0,3.0,2.0,23.8
6660332,6588832,Casco_Antiguo,Arenal,Inmueble_Completo,76,2,26,2.0,,1.0,1.0,38.0
8894954,3451296,Casco_Antiguo,Alfalfa,Inmueble_Completo,90,1,22,2.0,1.0,2.0,1.0,45.0
6671489,4790497,Casco_Antiguo,Feria,Inmueble_Completo,149,3,33,6.0,2.0,4.0,3.0,24.833333333333332
10647122,45542411,Triana,Triana Este,Inmueble_Completo,54,2,1,2.0,,2.0,1.0,27.0
6682427,12731128,Casco_Antiguo,San Lorenzo,Inmueble_Completo,101,1,10,4.0,1.0,1.0,1.0,25.25
10662213,53400472,Casco_Antiguo,Santa Cruz,Inmueble_Completo,103,2,1,3.0,1.0,1.0,1.0,34.333333333333336
10672070,3647689,Casco_Antiguo,San Julián,Inmueble_Completo,198,1,8,7.0,3.0,5.0,2.0,28.285714285714285
6687710,12731128,Casco_Antiguo,Arenal,Inmueble_Completo,109,1,10,4.0,2.0,2.0,1.0,27.25
6743737,4262133,Casco_Antiguo,San Gil,Inmueble_Completo,88,2,6,3.0,1.0,2.0,1.0,29.333333333333332
8928529,46646288,Casco_Antiguo,Alfalfa,Inmueble_Completo,72,2,1,2.0,1.0,1.0,1.0,36.0
10683649,48430502,Casco_Antiguo,Alfalfa,Habitacion_Privada,36,3,5,1.0,1.0,1.0,,36.0
6776175,32817878,Casco_Antiguo,San Vicente,Inmueble_Completo,72,1,6,4.0,1.0,1.0,1.0,18.0
10691549,55235427,Casco_Antiguo,San Lorenzo,Habitacion_Privada,33,2,2,2.0,1.0,1.0,,16.5
8928663,46687944,Casco_Antiguo,Arenal,Inmueble_Completo,97,1,1,6.0,2.0,3.0,1.0,16.166666666666668
6781368,32817878,Casco_Antiguo,San Vicente,Inmueble_Completo,84,1,6,5.0,1.0,1.0,1.0,16.8
8960326,1401256,Casco_Antiguo,San Bartolomé,Inmueble_Completo,66,2,1,4.0,2.0,3.0,1.0,16.5
6781544,35300137,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,108,2,1,4.0,2.0,3.0,1.0,27.0
8979635,9434427,Casco_Antiguo,Feria,Inmueble_Completo,62,2,2,2.0,1.0,1.0,1.0,31.0
6783377,31420918,Casco_Antiguo,Feria,Inmueble_Completo,105,1,13,4.0,2.0,3.0,1.0,26.25
6849928,35892305,Nervion,La Florida,Inmueble_Completo,68,1,2,3.0,2.0,2.0,1.0,22.666666666666668
8982114,46639787,Casco_Antiguo,Santa Cruz,Inmueble_Completo,201,1,9,3.0,1.0,1.0,1.0,67.0
6937664,20303882,Casco_Antiguo,Arenal,Inmueble_Completo,113,2,2,4.0,1.0,2.0,,28.25
9055034,47241335,Casco_Antiguo,San Vicente,Inmueble_Completo,57,1,1,2.0,1.0,1.0,1.0,28.5
10744544,55547129,Casco_Antiguo,San Julián,Habitacion_Privada,56,2,1,2.0,1.0,1.0,,28.0
10750605,12421497,Casco_Antiguo,Alfalfa,Inmueble_Completo,159,2,1,4.0,2.0,4.0,2.0,39.75
6938794,36381287,Casco_Antiguo,"Encarnación, Regina",Habitacion_Privada,41,1,1,,,,,
9120061,3540583,Sur,El Porvenir,Habitacion_Privada,44,1,14,4.0,1.0,4.0,1.0,11.0
7008478,3173171,Casco_Antiguo,Alfalfa,Inmueble_Completo,106,2,29,2.0,,2.0,1.0,53.0
10799021,18012912,Casco_Antiguo,San Julián,Inmueble_Completo,96,2,1,4.0,2.0,3.0,1.0,24.0
7009267,3173171,Casco_Antiguo,Alfalfa,Inmueble_Completo,83,2,29,4.0,1.0,2.0,1.0,20.75
7068050,36960420,Nervion,San Bernardo,Habitacion_Privada,30,1,2,2.0,1.0,2.0,1.0,15.0
7117752,31889277,Casco_Antiguo,Feria,Inmueble_Completo,238,1,1,10.0,5.0,7.0,3.0,23.8
10804760,55929674,Casco_Antiguo,Alfalfa,Inmueble_Completo,139,4,1,6.0,2.0,4.0,2.0,23.166666666666668
