Key,Fecha_Encuentro,Host_Key,Tipo_Inmueble,Dormitorios,Capacidad,Min_Nights,Precio,Distrito,Barrio,Precio/Capacidad
22838866,2018-04-09,31774617,Inmueble_Completo,3.0,8.0,3.0,46.0,Norte,San_Jeronimo,5.75
19624312,2017-08-14,138042548,Inmueble_Completo,1.0,2.0,1.0,45.0,Norte,San_Jeronimo,22.5
1825776,2017-08-14,4618098,Inmueble_Completo,0.0,6.0,4.0,108.0,Norte,Valdezorras,18.0
1752918,2017-08-14,9220934,Inmueble_Completo,3.0,4.0,3.0,90.0,Norte,Valdezorras,22.5
2756099,2017-08-14,6224025,Habitacion_Privada,1.0,2.0,1.0,42.0,Norte,Valdezorras,21.0
23593188,2018-04-06,30136975,Inmueble_Completo,4.0,8.0,2.0,108.0,Norte,Valdezorras,13.5
16464376,2017-08-14,108026899,Habitacion_Privada,2.0,2.0,2.0,48.0,Norte,Valdezorras,24.0
22132430,2018-04-09,161674338,Inmueble_Completo,6.0,16.0,2.0,216.0,Norte,La_Bachillera,13.5
18411509,2017-08-14,1862118,Inmueble_Completo,3.0,4.0,2.0,83.0,Norte,La_Bachillera,20.75
19323790,2017-08-14,135352529,Habitacion_Privada,1.0,2.0,1.0,18.0,Norte,San_Diego,9.0
5549011,2017-08-14,25557437,Inmueble_Completo,2.0,4.0,2.0,80.0,Norte,San_Diego,20.0
17968050,2018-05-25,6697024,Habitacion_Privada,2.0,2.0,1.0,48.0,Sur,El_Juncal_Hispalis,24.0
21733074,2018-05-25,154056338,Habitacion_Privada,1.0,2.0,1.0,20.0,Sur,El_Juncal_Hispalis,10.0
1981148,2017-08-14,9554875,Habitacion_Privada,1.0,2.0,1.0,18.0,Sur,El_Juncal_Hispalis,9.0
2846184,2017-08-14,1913477,Inmueble_Completo,3.0,4.0,1.0,60.0,Sur,El_Juncal_Hispalis,15.0
24796056,2018-05-25,40930741,Habitacion_Privada,3.0,4.0,1.0,42.0,Sur,El_Juncal_Hispalis,10.5
22652083,2018-05-05,32494354,Inmueble_Completo,2.0,4.0,3.0,84.0,Sur,Prado_Parque_Maria_Luisa,21.0
12669424,2018-05-05,2454105,Inmueble_Completo,0.0,8.0,7.0,119.0,Sur,Prado_Parque_Maria_Luisa,14.875
10535430,2017-08-14,54327462,Inmueble_Completo,3.0,6.0,2.0,130.0,Sur,Prado_Parque_Maria_Luisa,21.666666666666668
23517853,2018-05-05,15595277,Inmueble_Completo,4.0,8.0,1.0,188.0,Sur,Prado_Parque_Maria_Luisa,23.5
12901985,2017-08-14,57763047,Inmueble_Completo,1.0,2.0,1.0,85.0,Sur,Prado_Parque_Maria_Luisa,42.5
14891655,2017-08-14,37297601,Habitacion_Privada,2.0,2.0,1.0,24.0,Sur,Poligono_Sur,12.0
6455789,2017-08-14,33633021,Habitacion_Privada,1.0,2.0,1.0,15.0,Sur,Poligono_Sur,7.5
